ID (2.5Hz), Table X, Table Y, Connector1 X, Connector1 Y, Connector2 X, Connector2 Y, Connector3 X, Connector3 Y, Connector4 X, Connector4 Y, Leg1 X, Leg1 Y, Leg2 X, Leg2 Y, Leg3 X, Leg3 Y, Leg4 X, Pen1 X, Pen1 Y, Pen2 X, Pen2 Y;
0, , , , , , , , , , , , , , , , , , , , , , ;
1, , , , , , , , , , , , , , , , , , , , , , ;
2, , , , , , , , , , , , , , , , , , , , , , ;
3, , , , , , , , , , , , , , , , , , , , , , ;
4, , , , , , , , , , , , , , , , , , , , , , ;
5, , , , , , , , , , , , , , , , , , , , , , ;
6, , , , , , , , , , , , , , , , , , , , , , ;
7, , , , , , , , , , , , , , , , , , , , , , ;
8, , , , , , , , , , , , , , , , , , , , , , ;
9, , , , , , , , , , , , , , , , , , , , , 0.58358246088, -0.0709196031094;
10, , , , , , , , , , , , , , , , , , , , , , ;
11, , , , , , , , , , , , , , , , , , , , , 0.246435016394, 0.303147554398;
12, , , , , , , , , , , , , , , , , , , , , 0.246566325426, 0.303059458733;
13, , , , , , , , , , , , , , , , , , , , , 0.246590420604, 0.303292483091;
14, , , , , , , , , , , , , , , , , , , , , 0.246783092618, 0.30331581831;
15, , , , , , , , , , , , , , , , , , , , , 0.246626034379, 0.303403228521;
16, , , , , , , , , , , , , , , , , , , , , 0.246485754848, 0.303329259157;
17, , , , , , , , , , , , , , , 0.739079892635, -0.14539629221, , , 0.738611459732, -0.145366385579, , ;
18, , , , , , , , , , , , , , , 0.349934607744, 0.254329144955, , , , , 0.247014641762, 0.303507238626;
19, , , , , , , , , , , , , , , 0.28737872839, 0.318826854229, , , , , , ;
20, , , , , , , , , , , , , , , 0.287335008383, 0.31863617897, , , , , , ;
21, , , , , , , , , , , , , , , 0.28723347187, 0.319166302681, , , , , , ;
22, , , , , , , , , , , , , , , 0.287370920181, 0.318810760975, , , , , , ;
23, , , , , , , , , , , 1.25484728813, -0.399239957333, , , 0.287258654833, 0.319009244442, , , , , , ;
24, , , , , , , , , , , 1.09086835384, 0.0389144085348, , , 0.287289470434, 0.319061636925, , , , , , ;
25, , , , , , , , , , , 1.08326864243, 0.282386809587, , , 0.287144720554, 0.318983852863, , , , , , ;
26, , , , , , , , , , , 1.07174491882, 0.266673982143, , , 0.286931186914, 0.319179207087, , , , , , ;
27, , , , , , , , , , , 1.07160174847, 0.265821963549, , , 0.287182182074, 0.318576574326, , , , , , ;
28, , , , , , , , , , , 1.07145917416, 0.265609115362, , , 0.287178456783, 0.318792372942, , , , , , ;
29, , , , , , , , , , , 1.07162034512, 0.265737116337, , , 0.287264734507, 0.319091498852, , , , , , ;
30, , , , , , , , , , , 1.07170653343, 0.265657573938, , , 0.287255883217, 0.318883210421, , , , , , ;
